given_name,surname,binary,date_of_birth,day_of_week,email,phone_number,address,city,state,zipcode,semi_constant_1,semi_constant_2
Erika,Davis,binary_1,2022-02-24,Saturday,jeffery05@example.org,(330)962-4679x3225,2560 Ashley Mall Apt. 599,,PR,67432,q_const_0,q_const_0
Erica,Peters,binary_1,1983-04-05,Monday,grossdwayne@example.com,474-613-6601x0851,,,,,q_const_0,q_const_0
,Bailey,binary_1,1944-04-03,,keith69@example.com,,2865 William Passage,,NE,85403,q_const_0,q_const_0
James,Stafford,,2009-03-19,Thursday,ukrueger@example.com,689.347.6056x737,742 William Gateway,,GA,64780,q_const_0,q_const_0
,,binary_2,2007-08-23,Saturday,ramirezkevin@example.com,754.856.2137x385,,New Erin,NH,15030,q_const_0,q_const_0
,,binary_1,1951-05-02,Monday,samanthasimmons@example.net,,,Port Andres,MT,,q_const_0,q_const_0
Frank,Perez,,1961-03-25,Thursday,nicholas17@example.org,001-261-614-1789x143,,,,41124,q_const_0,q_const_0
Samantha,Stevens,binary_1,1976-02-22,Tuesday,emeyers@example.net,9768408113,,West Cameron,MO,10926,q_const_0,q_const_0
Joanna,Oneal,binary_1,,Monday,joseph40@example.com,842-250-8879x34998,46685 Hernandez Hill Suite 481,Duranville,,10158,q_const_0,q_const_0
,Gutierrez,binary_2,1947-05-02,Friday,paynecassandra@example.org,390.696.2199,,Newtonbury,VI,94140,q_const_0,q_const_0
Joseph,Barker,binary_2,1933-04-03,Tuesday,jeffery78@example.net,(349)300-3423,,Marcofurt,SC,36995,q_const_0,q_const_0_1
,Cooper,binary_2,,Thursday,hillwilliam@example.org,(871)747-9088x33912,219 Martinez Mews Suite 065,West Reneemouth,,64686,q_const_0,q_const_0
Janice,Goodwin,binary_1,,,jasonmiller@example.org,,,,CA,84376,q_const_0,q_const_0
Terri,Snow,,1986-02-03,Saturday,matthew68@example.com,939.979.4232,44964 Scott Throughway,South Javier,MH,68712,q_const_0,q_const_0
,,binary_2,2007-07-03,Thursday,gregoryjackson@example.org,001-470-899-2867x1054,4880 Bright Villages,Lake Brittany,MA,36858,q_const_0,q_const_0
,Martinez,binary_1,1992-06-25,Wednesday,churchstacey@example.com,7325741569,,,,,q_const_0,q_const_0
,Perry,binary_1,1951-08-06,Tuesday,susan72@example.org,,183 Vargas Summit,West Chadmouth,,86310,q_const_0,q_const_0
Karen,Cooper,binary_1,1911-07-09,Thursday,bwilliams@example.com,,1947 Melissa Meadow,Holderborough,OR,46722,q_const_0,q_const_0
Billy,,binary_2,2005-02-10,Monday,tina97@example.org,001-798-431-0333x3768,,Port Jennifer,,98900,q_const_0,q_const_0
Rhonda,Romero,binary_1,1926-10-14,Monday,juliehorn@example.net,529-621-8855,,,,,q_const_0,q_const_0
,Hayes,binary_1,1931-11-16,Sunday,bwade@example.org,+1-869-848-0310x1163,92893 Kane Canyon,Ianville,,96454,q_const_0,q_const_0
